,game_id,starting_nfelo_home,starting_nfelo_away,hfa_mod,home_bye_mod,away_bye_mod,div_game_mod,dif_surface_mod,home_time_advantage_mod,home_538_qb_adj,away_538_qb_adj,home_net_qb_mod,home_net_bye_mod,nfelo_dif_base,nfelo_dif_open,nfelo_dif_close,nfelo_home_line_open,nfelo_home_line_close,nfelo_home_probability_close,nfelo_home_probability_open,nfelo_home_cover_prob_close,nfelo_home_push_prob_close,nfelo_home_loss_prob_close,nfelo_away_cover_prob_close,nfelo_away_push_prob_close,nfelo_away_loss_prob_close,home_open_ev,away_open_ev,home_close_ev,away_close_ev,home_clv_from_open,away_clv_from_open,home_line_open,home_line_open_price,away_line_open_price,home_line_close,home_line_close_price,away_line_close_price,total_line_open,under_price_open,over_price_open,total_line_close,under_price_close,over_price_close,home_implied_win_probability_open,home_implied_win_probability_close,hfa_base_mod
0,2009_01_TEN_PIT,1645.0,1593.0,51.3,0.0,-0.0,-0.0,0.0,-11.2,-3.8935,-1.7163,-2.1772,0.0,101.1228,136.2008,177.0611,-5.0,-6.5,0.7348,0.6865,0.5,0.0,0.5,0.5,0.0,0.5,-0.0444,-0.0444,-0.0455,-0.0455,0.109,-0.1093,-5.0,,,-6.5,,,,,,35.5,-106.0,-104.0,0.6865,0.7348,62.5
1,2009_01_MIA_ATL,1528.0,1514.0,84.3,0.0,-0.0,-0.0,21.8,0.0,0.7221,6.5749,-5.8528,0.0,92.4472,108.9607,108.9607,-4.0,-4.0,0.6519,0.6519,0.4772,0.0456,0.4772,0.4772,0.0456,0.4772,-0.0434,-0.0434,-0.0434,-0.0434,0.0,0.0,-4.0,,,-4.0,-110.0,-110.0,,,,44.0,-103.0,-107.0,0.6519,0.6519,62.5
2,2009_01_KC_BAL,1614.0,1359.0,95.5,0.0,-0.0,-0.0,21.8,11.2,-7.2353,-12.705,5.4697,0.0,355.9697,308.663,355.9697,-11.5,-13.0,0.8859,0.8553,0.4804,0.0393,0.4804,0.4804,0.0393,0.4804,0.1477,-0.2364,-0.0437,-0.0437,0.2671,-0.2677,-9.0,,,-13.0,-110.0,-110.0,,,,36.5,-103.0,-107.0,0.804,0.8848,62.5
3,2009_01_PHI_CAR,1530.0,1604.0,62.5,0.0,-0.0,-0.0,0.0,0.0,-4.7737,10.2276,-15.0013,0.0,-26.5013,5.8995,-28.9485,-0.0,1.0,0.4584,0.5085,0.5644,0.0,0.4356,0.4356,0.0,0.5644,-0.1001,0.0115,0.0774,-0.1683,-0.2482,0.2475,-2.0,,,2.5,-110.0,-110.0,,,,43.5,-103.0,-107.0,0.5778,0.4032,62.5
4,2009_01_DEN_CIN,1452.0,1451.0,106.675,0.0,-0.0,-0.0,21.8,22.375,7.4199,-26.9583,34.3783,0.0,142.0533,63.5014,142.0326,-2.5,-5.0,0.6937,0.5904,0.5114,0.0,0.4886,0.4886,0.0,0.5114,0.1291,-0.2198,-0.0238,-0.0671,0.3235,-0.3235,0.0,,,-4.5,,,,,,41.0,-112.0,102.0,0.5,0.6694,62.5
5,2009_01_MIN_CLE,1423.0,1538.0,95.5,0.0,-0.0,-0.0,21.8,11.2,8.143,2.7206,5.4223,0.0,-14.0777,-41.1416,-98.8714,1.5,3.5,0.3614,0.4411,0.5447,0.0,0.4553,0.4553,0.0,0.5447,0.1001,-0.1824,0.0398,-0.1307,-0.1566,0.1543,3.0,,,4.5,-110.0,-110.0,,,,39.5,100.0,-110.0,0.3845,0.3306,62.5
6,2009_01_NYJ_HOU,1505.0,1483.0,73.1,0.0,-0.0,-0.0,21.8,-11.2,11.0792,0.6278,10.4514,0.0,105.5514,95.3406,122.5808,-3.5,-4.5,0.6694,0.6339,0.5,0.0,0.5,0.5,0.0,0.5,-0.0455,-0.0455,-0.0455,-0.0455,0.0709,-0.0709,-3.5,,,-4.5,-110.0,-110.0,,,,44.5,101.0,-111.0,0.6339,0.6694,62.5
7,2009_01_JAX_IND,1615.0,1463.0,56.1,0.0,-0.0,-28.2,21.8,0.0,14.498,1.2738,13.2242,0.0,221.3242,190.6812,177.0611,-7.0,-6.5,0.7348,0.7498,0.5,0.0,0.5,0.5,0.0,0.5,-0.0413,-0.0413,-0.0455,-0.0455,-0.0849,0.0846,-7.0,,,-6.5,-110.0,-110.0,,,,45.0,-105.0,-105.0,0.7498,0.7348,62.5
8,2009_01_DET_NO,1517.0,1329.0,51.3,0.0,-0.0,-0.0,0.0,-11.2,16.6906,12.3901,4.3005,0.0,243.6005,271.4721,365.2044,-10.0,-13.5,0.8911,0.8267,0.4338,0.0662,0.5,0.5,0.0662,0.4338,-0.1789,0.088,-0.1057,0.0208,0.1679,-0.1679,-11.5,,,-14.0,-110.0,-110.0,,,,50.0,105.0,-115.0,0.8585,0.8998,62.5
9,2009_01_DAL_TB,1484.0,1536.0,95.5,0.0,-0.0,-0.0,21.8,11.2,-11.2774,8.0026,-19.28,0.0,24.22,-18.2191,-95.2791,0.5,3.5,0.3662,0.4738,0.5448,0.0209,0.4343,0.4343,0.0209,0.5448,0.1026,-0.1849,0.0609,-0.15,-0.184,0.182,3.0,,,5.0,-110.0,-110.0,,,,40.0,103.0,-113.0,0.3845,0.3135,62.5
10,2009_01_SF_ARI,1550.0,1454.0,34.3,0.0,-0.0,-28.2,0.0,0.0,16.7516,1.7793,14.9723,0.0,145.2723,182.664,138.8321,-6.5,-5.0,0.6898,0.7411,0.5114,0.0,0.4886,0.4886,0.0,0.5114,-0.1257,0.0429,-0.0237,-0.0672,-0.2113,0.21,-7.0,,,-4.5,,,,,,45.5,-104.0,-106.0,0.7498,0.6694,62.5
11,2009_01_WAS_NYG,1589.0,1495.0,56.1,0.0,-0.0,-28.2,21.8,0.0,-4.6267,0.7876,-5.4144,0.0,144.6856,163.4411,177.0611,-6.0,-6.5,0.7348,0.7193,0.5,0.0,0.5,0.5,0.0,0.5,-0.0431,-0.0431,-0.0455,-0.0455,0.0449,-0.0454,-6.0,,,-6.5,,,,,,37.0,,,0.7193,0.7348,62.5
12,2009_01_LAR_SEA,1443.0,1347.0,34.3,0.0,-0.0,-28.2,0.0,0.0,-14.1159,-10.5583,-3.5576,0.0,126.7424,152.3243,170.9399,-5.5,-6.5,0.7279,0.7062,0.4108,0.0,0.5892,0.5892,0.0,0.4108,-0.2149,0.1313,-0.2158,0.1249,0.0675,-0.0693,-7.0,,,-7.5,,,,,,41.0,,,0.7498,0.7642,62.5
